,Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,,breach_start,breach_end,year
787,786,"Vitreo-Retinal Medical Group, Inc. ",CA,,1837,06/05/13,Theft,Laptop,23/01/14,,05/06/13,NA,2013
788,787,Arkansas Department of Human Services,AR,Health Resources of Arkansas,1911,4/14/2013,Theft,Laptop,12/02/14,,14/04/13,NA,2013
789,788,Baylor All Saints Medical Center at Fort Worth,TX,,940,05/07/2013-06/06/2013,Unauthorized Access/Disclosure,Other Portable Electronic Device,12/02/14,,07/05/13,06/06/13,2013
790,789,"Cogent Healthcare, Inc.",TN,M2ComSys Inc.,32151,05/05/2013-06/24/2013,Unauthorized Access/Disclosure,Network Server,23/01/14,,05/05/13,24/06/13,2013
791,790,Young Family Medicine Inc.,OH,,2045,06/12/13,Theft,Laptop,23/01/14,,12/06/13,NA,2013
792,791,Hancock OB/GYN,IN,,1396,11/09/2011 - 06/17/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,09/11/11,17/06/13,2011
793,792,Colfax,IN,Anthem BCBS of GA,5497,04/11/13,Other,Other,12/02/14,,11/04/13,NA,2013
794,793,Missouri Department of Social Services,MO,"InfoCrossing, Inc.",1357,10/16/2011 - 06/07/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,16/10/11,07/06/13,2011
795,794,Foundations Recovery Network,TN,,5690,6/15/2013,Theft,Laptop,23/01/14,,15/06/13,NA,2013
796,795,California Correctional Health Care Services,CA,,1033,6/19/2013,Other,Paper,23/01/14,,19/06/13,NA,2013
797,796,North Texas Comprehensive Spine & Pain Center,TX,,3200,6/16/2013,"Theft, Loss",Other Portable Electronic Device,12/02/14,,16/06/13,NA,2013
798,797,Minne-Tohe Health Center/Elbowoods Memorial Health Center,ND,,10000,10/01/11,"Improper Disposal, Unauthorized Access/Disclosure","Desktop Computer, Other",23/01/14,,01/10/11,NA,2011
799,798,Jackson Health System,FL,,1471,01/08/2013 - 01/10/2013,Other,Paper,23/01/14,,08/01/13,10/01/13,2013
800,799,"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,,4029530,7/15/2013,Theft,Desktop Computer,23/01/14,,15/07/13,NA,2013
801,800,"Summit Community Care Clinic, Inc.",CO,,921,7/22/2013,Hacking/IT Incident,Desktop Computer,23/01/14,,22/07/13,NA,2013
802,801,UT Physicians,TX,,596,07/22/2013-08/02/2013,"Theft, Loss",Laptop,23/01/14,,22/07/13,02/08/13,2013
803,802,Parkview Community Hospital Medical Center,CA,"Cogent Healthcare, Inc.",32000,05/05/2013 - 06/24/2013,Other,Network Server,23/01/14,,05/05/13,24/06/13,2013
804,803,Atlanta Center for Reproductive Medicine,GA,,654,07/12/13,Other,E-mail,23/01/14,,12/07/13,NA,2013
805,804,St. Anthony's Physician Organization,MO,,2600,7/29/2013,Theft,"Laptop, Other Portable Electronic Device",23/01/14,,29/07/13,NA,2013
806,805,Janna Benkelman LPC LLC,CO,,1500,08/01/13,Theft,Laptop,23/01/14,,01/08/13,NA,2013
807,806,Olson & White Orthodontics,MO,,10000,7/22/2013,Theft,"Desktop Computer, Network Server",23/01/14,,22/07/13,NA,2013
808,807,Kaiser Foundation Health Plan of the Northwest,OR,,647,3/15/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,15/03/13,NA,2013
809,808,"Hankyu Chung, M.D.",CA,,2182,6/17/2013,Theft,Laptop,23/01/14,,17/06/13,NA,2013
810,809,"ICS Collection Service, Inc. on behalf of University of Chicago Physicians Group",IL,"ICS Collection Service, Inc.",1290,07/09/13,Hacking/IT Incident,Other,23/01/14,,09/07/13,NA,2013
811,810,ACO of Puerto Rico,PR,PHMHS,5000,03/05/2013 - 07/16/2013,Theft,Network Server,20/06/14,,05/03/13,16/07/13,2013
812,811,"NHC HealthCare, Oak Ridge",TN,,4268,05/10/13,Loss,Other,13/03/14,,10/05/13,NA,2013
813,812,"NHC HealthCare, Mauldin",SC,,4204,5/15/2013,Improper Disposal,Other,13/03/14,,15/05/13,NA,2013
814,813,Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group ,IL,Blackhawk Consulting Group,2029,06/30/2013 - 08/15/2013,Hacking/IT Incident,Network Server,12/02/14,,30/06/13,15/08/13,2013
815,814,Dreyer Medical Clinic,IL,Blackhawk Consulting Group,998,06/30/2013 - 08/15/2013,Hacking/IT Incident,Network Server,23/01/14,,30/06/13,15/08/13,2013
816,815,"South Shore Physicians, PC",NY,,8000,01/01/2006 - 01/12/2012,Theft,Network Server,23/01/14,,01/01/06,12/01/12,2006
817,816,Dermatology Associates of Tallahassee,FL,,916,09/04/13,Unknown,Other,23/01/14,,04/09/13,NA,2013
818,817,Sierra View District Hospital,CA,,1009,07/01/2013 - 08/02/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,01/07/13,02/08/13,2013
819,818,Missouri Department of Social Services,MO,"InfoCrossing, Inc.",25461,12/21/2009 - 06/07/2013,Unauthorized Access/Disclosure,Paper,12/02/14,,21/12/09,07/06/13,2009
820,819,"Holy Cross Hospital, Inc.",FL,,9900,8/14/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",23/01/14,,14/08/13,NA,2013
821,820,Region Ten Community Services Board,VA,,10228,7/29/2013,Hacking/IT Incident,E-mail,23/01/14,,29/07/13,NA,2013
822,821,Comprehensive Podiatry LLC,OH,,1360,08/03/13,Theft,Laptop,23/01/14,,03/08/13,NA,2013
823,822,Santa Clara Valley Medical Center,CA,,579,09/14/2013 - 09/15/2013,Theft,Laptop,23/01/14,,14/09/13,15/09/13,2013
824,823,"Sarah Benjamin, DPM - Littleton Podiatry ",CO,Not Applicable ,3512,8/27/2013,Theft,Laptop,23/01/14,,27/08/13,NA,2013
825,824,"Carol L. Patrick, Ph.D.",OH,,517,08/08/2013-08/09/2013,Theft,Network Server,23/01/14,,08/08/13,09/08/13,2013
826,825,HOPE Family Health,TN,,6932,08/04/13,Theft,Laptop,23/01/14,,04/08/13,NA,2013
827,826,"Paul G. Klein, DPM",NJ,,2500,10/01/13,Theft,Laptop,20/06/14,,01/10/13,NA,2013
828,827,UnityPoint Health Affiliated Covered Entity (\UnityPoint\),IA,,1825,02/01/2013-08/27/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/14,,01/02/13,27/08/13,2013
829,828,TSYS Employee Health Plan,GA,"Paragon Benefits, Inc.",5232,09/05/13,Theft,E-mail,23/01/14,,05/09/13,NA,2013
830,829,"University of California, San Francisco",CA,,3553,09/09/13,Theft,"Laptop, Paper",23/01/14,,09/09/13,NA,2013
831,830,"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",PA,,2350,03/18/2013-05/13/2013,"Theft, Unauthorized Access/Disclosure",Paper,23/01/14,,18/03/13,13/05/13,2013
832,831,Group Health Cooperative,WA,,1015,9/16/2013,Other,Paper,23/01/14,,16/09/13,NA,2013
833,832,Schuylkill Health System,PA,,2810,08/07/13,Theft,Laptop,23/01/14,,07/08/13,NA,2013
834,833,CaroMont Medical Group,NC,,1310,08/05/13,Other,E-mail,23/01/14,,05/08/13,NA,2013
835,834,Mount SInai Medical Center,NY,,1586,08/06/13,Improper Disposal,Paper,23/01/14,,06/08/13,NA,2013
836,835,Memorial Hospital of Lafayette County,WI,Healthcare Management System ,4330,08/03/13,Unauthorized Access/Disclosure,Paper,23/01/14,,03/08/13,NA,2013
837,836,Saint Louis University,MO,,3100,7/25/2013,Unauthorized Access/Disclosure,E-mail,23/01/14,,25/07/13,NA,2013
838,837,MUSC Physicians & MUHA,SC,BlackHawk,7120,6/30/2013,Hacking/IT Incident,Network Server,12/02/14,,30/06/13,NA,2013
839,838,Ferris State University - MI College of Optometry,MI,,3947,12/01/11,Hacking/IT Incident,Network Server,23/01/14,,01/12/11,NA,2011
840,839,"Access Counseling, LLC",IN,,566,8/23/2013,Theft,Laptop,23/01/14,,23/08/13,NA,2013
841,840,Rose Medical Center,CO,,606,06/28/2013 - 07/16/2013,Improper Disposal,Paper,23/01/14,,28/06/13,16/07/13,2013
842,841,BriovaRx,IL,,1067,07/03/2013 - 07/11/2013,Unauthorized Access/Disclosure,E-mail,23/01/14,,03/07/13,11/07/13,2013
843,842,"North Country Hospital and Health Center, Inc",VT,,550,9/18/2013,Theft,Laptop,23/01/14,,18/09/13,NA,2013
844,843,"Hope Community Resources, Inc.",AK,,1556,8/19/2013,Unauthorized Access/Disclosure,E-mail,23/01/14,,19/08/13,NA,2013
845,844,Broward Health Medical Center,FL,,960,10/01/2012 - 12/31/2012,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,01/10/12,31/12/12,2012
846,845,Sentara Healthcare,VA,,3645,10/01/2012 - 07/11/2013,Theft,"Electronic Medical Record, Paper",23/01/14,,01/10/12,11/07/13,2012
847,846,Mount Sinai Medical Center,NY,,610,08/01/13,Loss,Other Portable Electronic Device,12/02/14,,01/08/13,NA,2013
848,847,Texas Health Presbyterian Dallas Hospital,TX,,949,8/22/2013,Theft,Desktop Computer,12/02/14,,22/08/13,NA,2013
849,848,Seton Healthcare Family,TX,,5500,10/04/13,Theft,Laptop,23/01/14,,04/10/13,NA,2013
850,849,BRONX-LEBANON HOSPITAL CENTER,NY,PROFESSIONAL TRANSCRIPTION SERVICES,10930,9/23/2009,Unauthorized Access/Disclosure,Network Server,23/01/14,,23/09/09,NA,2009
851,850,"Martin Luther King Jr. Health Center, Inc.",NY,PROFESSIONAL TRANSCRIPTION SERVICES,37000,9/23/2009,Unauthorized Access/Disclosure,Network Server,23/01/14,,23/09/09,NA,2009
852,851,SSM St. Mary's Health Center,MO,Saint Louis University,1300,7/25/2013,Unauthorized Access/Disclosure,E-mail,23/01/14,,25/07/13,NA,2013
853,852,Good Samaritan Hospital,CA,,3833,07/08/13,Theft,Laptop,23/01/14,,08/07/13,NA,2013
854,853,SSM Health Care of Wisconsin DBA: St. Mary's Janesville Hospital,WI,,631,8/27/2013,Theft,Laptop,23/01/14,,27/08/13,NA,2013
855,854,AHMC Healthcare Inc. and affiliated Hospitals,CA,,729000,10/12/13,Theft,Laptop,23/01/14,,12/10/13,NA,2013
856,855,"Greater Dallas Orthopaedics, PLLC",TX,,5840,8/30/2013,Theft,Desktop Computer,23/01/14,,30/08/13,NA,2013
857,856,"Spirit Home Health Care, Corp",FL,"Spirit Home Health Care, Corp",603,9/19/2013,Improper Disposal,Paper,23/01/14,,19/09/13,NA,2013
858,857,Rotech Healthcare Inc.,FL,,10680,11/26/2010 - 10/01/2013,Unauthorized Access/Disclosure,Laptop,18/02/14,,26/11/10,01/10/13,2010
859,858,"Reimbursement Technologies, Inc.",PA,,2300,05/01/2013 - 07/26/2013,Unauthorized Access/Disclosure,Network Server,23/01/14,,01/05/13,26/07/13,2013
860,859,Comprehensive Psychological Services LLC,SC,,3500,10/28/2013,Theft,Laptop,23/01/14,,28/10/13,NA,2013
861,860,"Superior HealthPlan, Inc.",TX,,6284,10/04/13,Other,Paper,23/01/14,,04/10/13,NA,2013
862,861,Genesis Rehabilitation Services,PA,,1167,8/30/2013,Loss,Other Portable Electronic Device,23/01/14,,30/08/13,NA,2013
863,862,"Colorado Health & Wellness, Inc.",CO,,651,09/04/13,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,23/01/14,,04/09/13,NA,2013
864,863,Barnabas Health Medical Group,NJ,,1100,9/24/2013,Theft,Laptop,23/01/14,,24/09/13,NA,2013
865,864,"DaVita, a division of DaVita HealthCare Partners Inc",CO,,11500,09/06/13,"Theft, Other",Laptop,23/01/14,,06/09/13,NA,2013
866,865,Blue Cross and Blue Shield of North Carolina,NC,,687,10/14/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,14/10/13,NA,2013
867,866,North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,NC,,1315,8/13/2013,Unauthorized Access/Disclosure,Other,23/01/14,,13/08/13,NA,2013
868,867,Puerto Rico Health Insurance Administration (PRHIA),PR,Triple S Salud Inc.,13336,9/20/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,20/09/13,NA,2013
869,868,Triple-S Salud ,PR,,70189,9/20/2013,Unauthorized Access/Disclosure,Paper,23/01/14,,20/09/13,NA,2013
870,869,Associated Urologists of North Carolina,NC,,7300,09/17/2012 - 09/17/2013,Other,Other,23/01/14,,17/09/12,17/09/13,2012
871,870,Kemmet Dental Design ,ND,,2000,11/10/13,"Theft, Other",Paper,23/01/14,,10/11/13,NA,2013
872,871,Hospice of the Chesapeake,MD,,7606,08/09/13,Unauthorized Access/Disclosure,E-mail,23/01/14,,09/08/13,NA,2013
873,872,"Scottsdale Dermatology, LTD",AZ,All Source Medical Management,1456,01/01/2013 -10/04/2013,Theft,Other,23/01/14,,01/01/13,04/10/13,2013
874,873,Memorial Sloan-Kettering Cancer Center,NY,,2279,08/01/13,Loss,Other Portable Electronic Device,18/02/14,,01/08/13,NA,2013
875,874,Gerdau Ameristeel Health and Welfare Plan,FL,Health Fitness Corporation,3804,9/27/2013,Theft,Laptop,18/02/14,,27/09/13,NA,2013
876,875,Gerdau Macsteel Health and Welfare Plan,MI,Health Fitness Corporation,4837,9/27/2013,Theft,Laptop,18/02/14,,27/09/13,NA,2013
877,876,UHS-Pruitt Corporation,GA,,1300,9/26/2013,Theft,Laptop,23/01/14,,26/09/13,NA,2013
878,877,"United Dynacare, LLC dba Dynacare Laboratories",WI,,9328,10/22/2013,Theft,Other Portable Electronic Device,23/01/14,,22/10/13,NA,2013
879,878,Redwood Memorial Hospital,CA,,1039,11/06/13,Loss,Other Portable Electronic Device,23/01/14,,06/11/13,NA,2013
880,879,Kaiser Foundation Hospital- Orange County,CA,,49000,9/25/2013,Loss,Other Portable Electronic Device,23/01/14,,25/09/13,NA,2013
881,880,Jones Chiropractic and Maximum Health,IN,,1500,10/13/2013,Theft,Desktop Computer,23/01/14,,13/10/13,NA,2013
882,881,Ronald Schubert MD PLLC,WA,,950,11/22/2013,Theft,Laptop,23/01/14,,22/11/13,NA,2013
883,882,UPMC,PA,,1279,11/05/2012 - 11/06/2013,Unauthorized Access/Disclosure,Electronic Medical Record,18/02/14,,05/11/12,06/11/13,2012
884,883,UW Medicine,WA,,76183,10/02/13,Hacking/IT Incident,Desktop Computer,18/02/14,,02/10/13,NA,2013
885,884,City of Chicago,IL,,2080,06/18/2013 - 10/07/2013,Unauthorized Access/Disclosure,Network Server,23/01/14,,18/06/13,07/10/13,2013
886,885,CIty of Joliet,IL,"Quality Health Claims Consultants, LLC",1573,10/08/13,Unauthorized Access/Disclosure,E-mail,23/01/14,,08/10/13,NA,2013
887,886,SIU HealthCare,IL,,1891,09/13/2013 - 10/15/2013,"Theft, Loss",Laptop,23/01/14,,13/09/13,15/10/13,2013
888,887,The Good Samaritan Health Center,GA,,5000,11/06/13,Other,Desktop Computer,23/01/14,,06/11/13,NA,2013
889,888,UniHealth Source,GA,,4500,10/08/13,Theft,Laptop,23/01/14,,08/10/13,NA,2013
890,889,Walgreen Co.,IL,,17350,09/18/2013 - 10/04/2013,Other,Paper,23/01/14,,18/09/13,04/10/13,2013
891,890,Methodist Dallas Medical Center,TX,,44000,09/01/2005 - 08/01/2013,Unauthorized Access/Disclosure,Other,23/01/14,,01/09/05,01/08/13,2005
892,891,Florida Digestive Health Specialists,FL,,4400,03/06/2013 -09/09/2013,Unauthorized Access/Disclosure,Desktop Computer,23/01/14,,06/03/13,09/09/13,2013
893,892,"Northside Hospital, Inc.",GA,,4879,10/10/13,Loss,Laptop,23/01/14,,10/10/13,NA,2013
894,893,"Health Help, Inc.",KY,,535,10/15/2013,Theft,Other Portable Electronic Device,23/01/14,,15/10/13,NA,2013
895,894,L.A. Gay & Lesbian Center,CA,,59000,09/17/2013 - 11/08/2013,Hacking/IT Incident,Network Server,23/01/14,,17/09/13,08/11/13,2013
896,895,Mosaic,NE,,3857,10/11/13,Other,E-mail,23/01/14,,11/10/13,NA,2013
897,896,New Jersey Department of Human Services,NJ,Island Peer Review Organization,9642,10/18/2013,Loss,Other Portable Electronic Device,23/01/14,,18/10/13,NA,2013
898,897,"Fairfax County, Virginia",VA,Molina Healthcare In,1499,09/09/2013 - 10/03/2013,Unauthorized Access/Disclosure,Network Server,23/01/14,,09/09/13,03/10/13,2013
899,898,Wyoming Department of Health,WY,,11935,10/16/2013,Unauthorized Access/Disclosure,Network Server,23/01/14,,16/10/13,NA,2013
900,899,Shiloh Medical Clinic,MT,,1900,11/08/13,Unauthorized Access/Disclosure,"Desktop Computer, E-mail",23/01/14,,08/11/13,NA,2013
901,900,South Carolina Health Insurance Pool,SC,DeLoach & Williamson,3432,10/16/2013,Theft,Laptop,23/01/14,,16/10/13,NA,2013
902,901,Tennova Cardiology,TN,Colby DeHart,2777,10/21/2013,Theft,Laptop,23/01/14,,21/10/13,NA,2013
903,902,Delta Dental of Pennsylvania,PA,ZDI,1674,10/16/2013,Loss,Paper,13/03/14,,16/10/13,NA,2013
904,903,"Molina Healthcare of Texas, Inc.",TX,,2826,10/01/13,Other,Paper,23/01/14,,01/10/13,NA,2013
905,904,"Rob Meaglia, DDS",CA,,1400,12/16/2013,Theft,Desktop Computer,23/01/14,,16/12/13,NA,2013
906,905,Jeff Spiegel,MA,,832,11/25/2013,Unauthorized Access/Disclosure,E-mail,13/03/14,,25/11/13,NA,2013
907,906,Tranquility Counseling Services,NC,,1683,11/01/13,Other,Paper,23/01/14,,01/11/13,NA,2013
908,907,Florida Department of Health,FL,,2354,10/30/2013,Unauthorized Access/Disclosure,Desktop Computer,05/03/14,,30/10/13,NA,2013
909,908,"New Mexico Oncology Hematology Consultants, LTD",NM,,12354,11/13/2013,Theft,Laptop,23/01/14,,13/11/13,NA,2013
910,909,Department of Health Care Policy & Financing,CO,Colorado Community Health Alliance (CCHA)/Physicians Health Partners,1918,11/21/2013,Unauthorized Access/Disclosure,E-mail,21/02/14,,21/11/13,NA,2013
911,910,"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,,839711,11/01/13,Theft,Laptop,21/02/14,,01/11/13,NA,2013
912,911,Phoebe Putney Memorial Hospital,GA,,6989,11/05/13,Loss,Desktop Computer,11/02/14,,05/11/13,NA,2013
913,912,Coulee Medical Center,WA,,2500,01/01/2010-11/30/2013,Unauthorized Access/Disclosure,"Laptop, Network Server, E-mail",11/02/14,,01/01/10,30/11/13,2010
914,913,University of Pennsylvania Health System,PA,"RevSpring, Inc.",3000,11/26/2013,Other,Paper,11/02/14,,26/11/13,NA,2013
915,914,North Carolina Department of Health and Human Services ,NC,,48752,12/30/2013,Unauthorized Access/Disclosure,Other,11/02/14,,30/12/13,NA,2013
916,915,101 FAMILY MEDICAL GROUP,CA,"Phreesia, Inc",2500,11/23/2013,Theft,Laptop,11/02/14,,23/11/13,NA,2013
917,916,Tri Lakes Medical Center,MS,,1489,9/20/2013,Hacking/IT Incident,Network Server,11/02/14,,20/09/13,NA,2013
918,917,VA Dept. of Medical Assistance Services,VA,Virginia Premier Health Plan (VPHP),25513,11/15/2013,"Unauthorized Access/Disclosure, Other",Paper,11/02/14,,15/11/13,NA,2013
919,918,Cook County Health & Hospitals System,IL,,22511,11/12/13,Other,E-mail,11/02/14,,12/11/13,NA,2013
920,919,Southwest General Health Center,OH,,953,04/13/2013 - 10/31/2013,Unknown,Other,30/05/14,,13/04/13,31/10/13,2013
921,920,"Robert B. Neves, M.D., Inc",CA,,611,05/08/11,Theft,Laptop,24/01/14,,08/05/11,NA,2011
922,921,"Triple-S Salud, Inc.",PR,"Triple-C, Inc.",398000,09/09/10,Theft,Network Server,18/02/14,,09/09/10,NA,2010
923,922,"Triple-S Salud, Inc.",PR,"Triple-C, Inc.",8000,10/03/08,"Theft, Unauthorized Access/Disclosure",Network Server,24/01/14,,03/10/08,NA,2008
924,923,Urology Centers of Alabama PC and Urology Health Foundation,AL,"Birmingham Printing and Publishing, Inc dba Paper Airplane",1085,8/22/2013,Other,Other,03/06/14,,22/08/13,NA,2013
925,924,Medical Mutual of Ohio,OH,,1420,10/16/2013,Unauthorized Access/Disclosure,Paper,13/06/14,,16/10/13,NA,2013
926,925,Unity Health Plans Insurance Corporation,WI,University of Wisconsin-Madison School of Pharmacy,41437,12/12/13,Loss,Other Portable Electronic Device,21/02/14,,12/12/13,NA,2013
927,926,The University of Texas MD Anderson Cancer Center,TX,,3598,12/02/13,Loss,Other Portable Electronic Device,11/02/14,,02/12/13,NA,2013
928,927,Beebe Medical Center,DE,,1883,09/02/13,Other,Laptop,21/02/14,,02/09/13,NA,2013
929,928,St. Joseph Health System ,TX,,405000,12/16/2013,Hacking/IT Incident,Network Server,11/02/14,,16/12/13,NA,2013
930,929,"Min Yi, M.D.",CA,,4676,5/28/2013,Theft,Other Portable Electronic Device,21/02/14,,28/05/13,NA,2013
931,930,Easter Seal Society of Superior California,CA,,3026,12/10/13,Theft,Laptop,21/02/14,,10/12/13,NA,2013
932,931,PruittHealth Pharmacy Services,GA,,841,12/06/13,Theft,Laptop,25/02/14,,06/12/13,NA,2013
933,932,"RGH Enterprises, Inc.",OH,,4230,03/09/2013-03/11/2013,Theft,Network Server,24/06/14,,09/03/13,11/03/13,2013
934,933,Network Pharmacy Knoxville,TN,,9602,11/18/2013,Theft,Laptop,11/02/14,,18/11/13,NA,2013
935,934,Saint Francis Hospital and Medical Center,CT,,858,12/27/2013,Theft,Paper,24/03/14,,27/12/13,NA,2013
936,935,Health Dimensions,MI,,5370,11/02/13,Theft,Network Server,11/02/14,,02/11/13,NA,2013
937,936,COMPLETE MEDICAL HOMECARE,KS,,1700,12/12/13,Unauthorized Access/Disclosure,Other Portable Electronic Device,11/02/14,,12/12/13,NA,2013
938,937,Hospital for Special Surgery,NY,,937,3/19/2013,Theft,"Desktop Computer, Paper",26/02/14,,19/03/13,NA,2013
939,938,The Brooklyn Hospital Center,NY,,2172,12/02/13,Loss,Other Portable Electronic Device,24/02/14,,02/12/13,NA,2013
940,939,Kmart Corporation,IL,,16446,01/04/14,Theft,"Other, Electronic Medical Record",24/03/14,,04/01/14,NA,2014
941,940,WA State Department of Social & Health Services,WA,,3104,8/19/2013,"Unauthorized Access/Disclosure, Other",Paper,21/04/14,,19/08/13,NA,2013
942,941,"Lewis J. Sims, DPM, PC dba Sims and Associates Podiatry ",NY,,6475,01/10/14,"Theft, Other",Laptop,21/04/14,,10/01/14,NA,2014
943,942,University of Miami,FL,,13074,6/27/2013,Loss,Paper,21/04/14,,27/06/13,NA,2013
944,943,"Supportive Concepts for Families, Inc.",PA,,593,02/06/13,Unauthorized Access/Disclosure,Network Server,24/02/14,,06/02/13,NA,2013
945,944,Health Care Solutions at Home Inc.,OH,,1139,12/17/2013,Other,Other,12/03/14,,17/12/13,NA,2013
946,945,University of California Davis Medical Center,CA,,2269,12/13/2013,Hacking/IT Incident,E-mail,21/04/14,,13/12/13,NA,2013
947,946,"St. Vincent Hospital and Healthcare, Inc",IN,,1142,12/23/2013,Theft,Laptop,12/03/14,,23/12/13,NA,2013
948,947,Missouri Consolidated Health Care Plan,MO,"StayWell Health Management, LLC",10024,3/23/2012,Unauthorized Access/Disclosure,Network Server,12/03/14,,23/03/12,NA,2012
949,948,The Clorox Company Group Insurance Plan,CA,"StayWell Health Management, LLC",520,4/16/2012,Unauthorized Access/Disclosure,Network Server,12/03/14,,16/04/12,NA,2012
950,949,Regents of the University of Minnesota,MN,"StayWell Health Management, LLC",4786,3/29/2012,Unauthorized Access/Disclosure,Network Server,24/03/14,,29/03/12,NA,2012
951,950,Inspira Health Network Inc.,NJ,,1411,12/23/2013,Theft,Desktop Computer,12/03/14,,23/12/13,NA,2013
952,951,"Nissan North America, Inc.",TN,"StayWell Health Management, LLC",1511,05/08/12,Unauthorized Access/Disclosure,Network Server,12/03/14,,08/05/12,NA,2012
953,952,"Care Advantage, Inc.",VA,,3458,01/01/13,Theft,Laptop,24/03/14,,01/01/13,NA,2013
954,953,HealthSource of Ohio Inc.,OH,Pair Networks Inc.,8845,11/18/2013,"Unauthorized Access/Disclosure, Other",Other,12/03/14,,18/11/13,NA,2013
955,954,"The Kroger Co., for itself and its affiliates and subsidiaries",OH,,504,10/30/2013,Other,Electronic Medical Record,21/04/14,,30/10/13,NA,2013
956,955,"Cornerstone Health Care, PA",NC,,548,12/31/2013,"Theft, Loss",Laptop,12/03/14,,31/12/13,NA,2013
957,956,Joseph Michael Benson M.D,TX,,7500,01/05/14,Theft,Desktop Computer,24/03/14,,05/01/14,NA,2014
958,957,All for Kids Pediatric Clinic,AR,Data Media,600,12/27/2013,Other,Other,24/03/14,,27/12/13,NA,2013
959,958,Eureka Internal Medicine,CA,,3534,9/25/2013,Improper Disposal,Paper,24/03/14,,25/09/13,NA,2013
960,959,Brazos Valley Pathology,TX,St. Joseph Health System,3300,12/16/2013,Hacking/IT Incident,Network Server,24/06/14,,16/12/13,NA,2013
961,960,Banner Health,AZ,,55207,2/21/2014,Other,Other,24/03/14,,21/02/14,NA,2014
962,961,Monarch Women's Health,AL,"PracMan, Inc.",1145,8/22/2013,Hacking/IT Incident,Network Server,02/06/14,,22/08/13,NA,2013
963,962,"Punuru J.M. Reddy, MD, Inc.",AL,"PracMan, Inc.",1179,8/22/2013,Hacking/IT Incident,Network Server,25/03/14,,22/08/13,NA,2013
964,963,Iowa Dept. of Human Services,IA,,2042,12/01/08,Other,"Laptop, E-mail, Other Portable Electronic Device",21/04/14,,01/12/08,NA,2008
965,964,City of Hope,CA,"Sutherland Healthcare Solutions, Inc.",5400,02/05/14,Theft,"Desktop Computer, E-mail",25/03/14,,05/02/14,NA,2014
966,965,Mission City Community Network,CA,,7800,5/31/2013,Theft,E-mail,21/04/14,,31/05/13,NA,2013
967,966,"Partners In Nephrology & Endocrinology, P.C.",PA,,5000,11/13/2013,Other,Other,24/03/14,,13/11/13,NA,2013
968,967,"University of California, San Francisco",CA,,9861,01/11/14,Theft,Desktop Computer,31/03/14,,11/01/14,NA,2014
969,968,Detroit Medical Center - Harper University Hospital,MI,,1087,09/07/12,"Theft, Unauthorized Access/Disclosure",Paper,06/05/14,,07/09/12,NA,2012
970,969,"Todd M. Burton, M.D.",TX,,5000,1/13/2014,Theft,Other,24/03/14,,13/01/14,NA,2014
971,970,Valley View Hospital Association,CO,,5415,09/11/13,Other,"Laptop, Desktop Computer",21/04/14,,11/09/13,NA,2013
972,971,Hospitalists of Arizona,AZ,,1706,12/31/2013,Theft,Laptop,24/03/14,,31/12/13,NA,2013
973,972,"McBroom Clinic, PA",TX,TMA Practice Management Group,2260,01/09/14,"Loss, Improper Disposal",Other Portable Electronic Device,21/04/14,,09/01/14,NA,2014
974,973,"QBE Holdings, Inc.",NY,"StayWell Health Management, LLC",1746,05/09/12,Unauthorized Access/Disclosure,Network Server,21/04/14,,09/05/12,NA,2012
975,974,Berea College,KY,,1000,1/24/2012,Other,Electronic Medical Record,21/04/14,,24/01/12,NA,2012
976,975,"HealthPartners, Inc.",MN,,27839,01/07/08,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",20/06/14,,07/01/08,NA,2008
977,976,"Group Health Plan, Inc. Medical Benefit Plan",MN,"HealthPartners Administrators, Inc.",796,01/07/08,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",21/04/14,,07/01/08,NA,2008
978,977,State Employee Group Insurance Plan,MN,"HealthPartners Administrators, Inc.",1699,01/07/08,"Loss, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Other Portable Electronic Device",21/04/14,,07/01/08,NA,2008
